
Program Started
AES		 , nan		 ,  0		 ,   1FFT		 , nan		 ,  0		 ,   1SHA		 , nan		 ,  0		 ,   1BFS		 , nan		 ,  0		 ,   1KMP		 , nan		 ,  0		 ,   1GEMM		 , nan		 ,  0		 ,   1SORT		 , nan		 ,  0		 ,   1SPMV		 , nan		 ,  0		 ,   1
AES		 , 0.000		 ,  0		 ,  51FFT		 , 1.360		 ,  4		 ,  51SHA		 , 0.000		 ,  0		 ,  51BFS		 , 0.000		 ,  0		 ,  51KMP		 , 0.000		 ,  0		 ,  51GEMM		 , 0.000		 ,  0		 ,  51SORT		 , 0.000		 ,  0		 ,  51SPMV		 , 0.000		 ,  0		 ,  51
AES		 , 0.000		 ,  0		 ,  52FFT		 , 1.333		 ,  4		 ,  52SHA		 , 0.000		 ,  0		 ,  52BFS		 , 0.000		 ,  0		 ,  52KMP		 , 0.000		 ,  0		 ,  52GEMM		 , 0.000		 ,  0		 ,  52SORT		 , 0.000		 ,  0		 ,  52SPMV		 , 0.000		 ,  0		 ,  52
AES		 , 0.000		 ,  0		 ,  53FFT		 , 1.308		 ,  4		 ,  53SHA		 , 0.000		 ,  0		 ,  53BFS		 , 0.000		 ,  0		 ,  53KMP		 , 0.000		 ,  0		 ,  53GEMM		 , 0.000		 ,  0		 ,  53SORT		 , 0.000		 ,  0		 ,  53SPMV		 , 0.000		 ,  0		 ,  53
AES		 , 0.000		 ,  0		 ,  54FFT		 , 1.283		 ,  4		 ,  54SHA		 , 0.000		 ,  0		 ,  54BFS		 , 0.000		 ,  0		 ,  54KMP		 , 0.000		 ,  0		 ,  54GEMM		 , 0.000		 ,  0		 ,  54SORT		 , 0.000		 ,  0		 ,  54SPMV		 , 0.000		 ,  0		 ,  54
AES		 , 0.000		 ,  0		 ,  55FFT		 , 1.259		 ,  4		 ,  55SHA		 , 0.000		 ,  0		 ,  55BFS		 , 0.000		 ,  0		 ,  55KMP		 , 0.000		 ,  0		 ,  55GEMM		 , 0.000		 ,  0		 ,  55SORT		 , 0.000		 ,  0		 ,  55SPMV		 , 0.000		 ,  0		 ,  55
AES		 , 0.000		 ,  0		 ,  56FFT		 , 1.236		 ,  4		 ,  56SHA		 , 0.000		 ,  0		 ,  56BFS		 , 0.000		 ,  0		 ,  56KMP		 , 0.000		 ,  0		 ,  56GEMM		 , 0.000		 ,  0		 ,  56SORT		 , 0.000		 ,  0		 ,  56SPMV		 , 0.000		 ,  0		 ,  56
AES		 , 0.000		 ,  0		 ,  57FFT		 , 1.518		 ,  5		 ,  57SHA		 , 0.000		 ,  0		 ,  57BFS		 , 0.000		 ,  0		 ,  57KMP		 , 0.000		 ,  0		 ,  57GEMM		 , 0.000		 ,  0		 ,  57SORT		 , 0.000		 ,  0		 ,  57SPMV		 , 0.000		 ,  0		 ,  57
AES		 , 0.000		 ,  0		 ,  58FFT		 , 1.491		 ,  5		 ,  58SHA		 , 0.000		 ,  0		 ,  58BFS		 , 0.000		 ,  0		 ,  58KMP		 , 0.000		 ,  0		 ,  58GEMM		 , 0.000		 ,  0		 ,  58SORT		 , 0.000		 ,  0		 ,  58SPMV		 , 0.000		 ,  0		 ,  58
AES		 , 0.000		 ,  0		 ,  59FFT		 , 1.466		 ,  5		 ,  59SHA		 , 0.000		 ,  0		 ,  59BFS		 , 0.000		 ,  0		 ,  59KMP		 , 0.000		 ,  0		 ,  59GEMM		 , 0.000		 ,  0		 ,  59SORT		 , 0.000		 ,  0		 ,  59SPMV		 , 0.000		 ,  0		 ,  59
AES		 , 0.000		 ,  0		 ,  60FFT		 , 1.441		 ,  5		 ,  60SHA		 , 0.000		 ,  0		 ,  60BFS		 , 0.000		 ,  0		 ,  60KMP		 , 0.000		 ,  0		 ,  60GEMM		 , 0.000		 ,  0		 ,  60SORT		 , 0.000		 ,  0		 ,  60SPMV		 , 0.000		 ,  0		 ,  60
AES		 , 0.000		 ,  0		 ,  61FFT		 , 1.417		 ,  5		 ,  61SHA		 , 0.000		 ,  0		 ,  61BFS		 , 0.000		 ,  0		 ,  61KMP		 , 0.000		 ,  0		 ,  61GEMM		 , 0.000		 ,  0		 ,  61SORT		 , 0.000		 ,  0		 ,  61SPMV		 , 0.000		 ,  0		 ,  61
AES		 , 0.000		 ,  0		 ,  62FFT		 , 1.393		 ,  5		 ,  62SHA		 , 0.000		 ,  0		 ,  62BFS		 , 0.000		 ,  0		 ,  62KMP		 , 0.000		 ,  0		 ,  62GEMM		 , 0.000		 ,  0		 ,  62SORT		 , 0.000		 ,  0		 ,  62SPMV		 , 0.000		 ,  0		 ,  62
AES		 , 0.000		 ,  0		 ,  63FFT		 , 1.371		 ,  5		 ,  63SHA		 , 0.000		 ,  0		 ,  63BFS		 , 0.000		 ,  0		 ,  63KMP		 , 0.000		 ,  0		 ,  63GEMM		 , 0.000		 ,  0		 ,  63SORT		 , 0.000		 ,  0		 ,  63SPMV		 , 0.000		 ,  0		 ,  63
